Milyen két modellje van a foglalkozáspolitikának?;Teljes foglalkoztatás és piacgazdasági modell;Relativitás és abszolut modell;KEynes és Milton modell;Albert Schweitzer és Adam Smith modell
Mi a jóléti állam GOSTA ESPING ANDERSEN FÉLE MODELL Skandináv (szocialista) jóléti állam: jellemzője?;Azok az országok alkotják, melyekben az univerzális elveket és a szociális jogokat a középosztályra is kiterjesztették. Jellemzője, hogy szolidarisztikus és munkalehetőségeket kíván teremteni. Ezen megoldás mögött húzódik azon elv is, hogy a jóléti állam fenntartásának nagy költségeit úgy lehet finanszírozni, ha minél többen dolgoznak, és a lehető legkevesebben élnek a szociális transzferekből. A cél a jó színvonalú, a középosztály igényeit is kielégítő, azaz a társadalom egészét integrálni képes ellátás. A többi típustól eltérően az államot nem végső segélyforrásnak, hanem az összes állampolgár szociális jogainak érvényesülését biztosító alapvető eszköznek tekinti. Ezt a modellt a liberális és a szociáldemokrata elvek sajátos keveredése jellemzi.;Hagyományos értékek előtérben;Piaci logika előtérben;Egyház kiemelt szerep
A jóléti állam válságának pontjai..;Mind;- 1970-es évektől kezdődött a jóléti állam válsága; - EDSEL törvény: o ha az állam elkezd egy hibás politikát, nem valószínű, hogy annak gátat tud szabni; o a törvény kimondja: ha elindul egy negatív politikai nézet, akkor azt sokáig folytatják és alkalmazzák más területeken is
Mik a jóléti állam válságának gazdasági okai?;Mind;Egyik sem;- a jóléti államok veszteséget szenvedtek a nehéziparban o a harmadik világbeli országok elhódították a munka kínálatokat, o oka: a alacsonyabb bérért, fizetésen kívüli foglalkoztatási juttatások nélkül végezték el a különleges szakképzettséget nem igénylő munkákat, - csökkent a szakképzettség nélküliek munkája - új munkahelyek magasabb iskolai végzettséget követeltek, - jelentkezőket szigorúbb feltételekkel alkalmazták - gyakoriak a kötelező szakmai továbbképzések, ha valaki meg akarja tartani az állását; - a továbbképzések ellenére a fizetések nem emelkednek, gyakran csökkennek, - a munkahelyek az elővárosok területén és az új fejlődési övezetekben jönnek létre, nem a szegénység által sújtott területeken, - többen olyan helyre születnek, ahol nem megfelelő a családi szocializáció - a csökkenő munkalehetőség a garantált minimálbér miatt a családok nagy arányban bomlanak fel a segélyezés alatt, - ezekben az esetekben többnyire az apa lép ki a csaláó
Mik a jóléti állam válságának politikai okai?;Mind;- az állam jövedelemredisztribúciós eljárásokat indított be: o lényege: az állam nem igényel előzetes befizetést a korábbi munkavállalás idején, viszont segélyt biztosít a kérelmezőnek, - idő elteltével a jóléti államok a becsapások, szélhámosságok színterévé válnak o a régi tagok az újakból táplálkoznak, addig, amíg vannak új tagok, akik juttatásokat kapnak,;rendeletek folyamatos változása a bürokráciát erősítette, félő, hogy a szolgáltatások személytelenné, merevvé válnak;bürokratikus rendszer is a jóléti állam bukását szolgálta
Mik a jóléti állam válságának társadalmi okai?;Mind;elterjedt nézet, hogy a jólét jog, nem kiváltság o segély érdekében semmi mást nem kell tenni, csak kijelenteni a rászorultságot és folyamodni az ellátásért, o igényléskor az sem számít, ha a munka, a tanulás, továbbképzés lehetőségét elvetette,;munkára való kényszerítést eleve elvetett tervnek tartották, előre látható sikertelensége miatt - sokan a megoldást az átmeneti segélyben látták o így komoly ellentétek alakulhatnának ki a segély igénylői és adói között o az igénylők a juttatást természetes, megkérdőjelezhetetlen segítségnek tekintik;a jóléti államok feladták, hogy a segítségnyújtás célja az ügyfelek önállóságának erősítése - ami korábban ideiglenes körülménynek tűnt, később állandó költséggé vált o a jólét csökkenti a termékenységet és megnyirbálja az emberek önállóságát, új viselkedésmódot alapoz meg, a függő helyzet normaként való elfogadását
Hogy néz ki a Jóléti állam a jelen idő tükrében?;Mind;- XX. század utolsó 2-3 évtizedében változások a jóléti rendszerben: leépítések,- szigorították a munkanélküli járadék folyósításának feltételeit, csökkentették összegét, - a jóléti kiadások tovább növekedtek;- a jóléti állam alapjai meggyengültek, az 1970-es évektől megbomlott egyöntetű elfogadottsága, - a családi pótlék juttatásán akarnak szigorítani – rászorultság alapján szeretnék nyújtani - sokak szerint a társadalom elöregedése miatt fenntarthatatlanok a jóléti államok;- a fiatalabb generáció nem tudja finanszírozni a nagyobb létszámú idősek juttatásait, - a jóléti állam az emberek tudatában bukásnak indult, de egyelőre jelen van a közszférában és érezteti hatását
Mik Napjaink jellemző folyamatai?;Mind;Egyik sem;Globalizáció tőketulajdonosok és gazdaság előtérbe kerülése;gazdasági racionalitás súlya nő - szociális kiadásokat visszafogják, egyenlőtlenségek növekednek
Társadalombiztosítás fogalma?;Mind;a társadalom közös kockázatvállalásán alapuló, kötelező biztosítási rendszer;Hasonló kockázattal élő egyének vagy csoportok közös szerveződése arra, együttesen vállaljanak un. kockázatközösséget, mert, ha a közösség tagjainak száma elég nagy, akkor kevesebb tartalék is elegendő a biztonsághoz.;TB célja: gazdasági védelmet nyújtani az egyénnek a betegség, öregség származó balesetek, v. munkanélkülivé válás esetére.
Piaci biztosítások..;Mind;Egyik sem;Profit orientált, Kockázat kerülő; Annyit akar visszaadni, amennyit az egyén megtakarított, Alkalmatlan a nagy kockázatok kezelésére
Nem piaci –nem profit orientált biztosítások..;Mind;Egyik sem;Nem a kockázattól teszi függővé a járulék fizetését, hanem a bértől,;Itt az állam elvileg garanciát vállal a társadalmi kockázatért
Mik a TB jellemzői?;kötelező ellátási forma és része az állami költségvetésnek;nem kötelező ellátási forma;egyes társadalmi rétegeknek kötelező ellátási forma;csak aktív munkavállalóknak jár
Milyen TB alapok vannak?;Mind;Egyik sem;Egészségbiztosítási alap OEP (Országos Egészségbiztosító Pénztár);Nyugdíjbiztosítási alap ONYF (Országos Nyugdíjbiztosítási Főigazgatóság)
Mik a TB alapelvei?;Mind;A társadalombiztosítás, társadalmi kockázatközösség, amelyben a részvétel kötelező, szolidaritás aktívan gondoskodik az inaktívakról és a betegekről.;A részvételi kötelezettség, a tb.–járulékfizetési kötelezettség és a díjfizetési kötelezettség teljesítése alapozza meg a biztosítottak jogosultságát az egyes társadalombiztosítási ellátások igénybevételére.;A pénzbeli társadalombiztosítási ellátások, a járulékfizetés alapjául szolgáló jövedelemmel arányosak.
Mi Az állam szerepe a TB-ben?;Mind;Ellátások megállapítása, Fizetési kötelezettségek meghatározása;Közterhek megállapítására, bevallására, befizetésére és beszedésére, valamint nyilvántartására vonatkozó szabályok megalkotása;ellenőrző rendszerről gondoskodni. Az állam a társadalombiztosítási ellátások fedezetét akkor is biztosítja, ha a társadalom- biztosítás kiadásai a bevételeket meghaladják.
Kik vesznek részt a TB finanszírozásában?;Mind;Egyik sem;Munkavállaló,Munkáltató.2012-től Szociális Hozzájárulási Adó 27%;Állam
TB Bevételei..;Mind;járulékok, kamat, rendbírság; késedelmi pótlék; esetleg vagyonának hozadékai.
Mik A társadalombiztosítás finanszírozásának fajtái?;felosztó – kiróvó - várományfedezeti rendszer: - tőkefedezetei rendszer / előző kettő kombinációja /;felosztó – kiróvó - tőkefedezetei rendszer;várományfedezeti rendszer: - tőkefedezetei rendszer;felosztó – kiróvó - várományfedezeti rendszer
Milyen a TB finanszírozásának felosztó – kiróvó fajtája?;Mind;Egyik sem;- alapvetően interperszonális elosztást végez / a mindenkori aktív korúak tartják el fedezi az inaktív generációk ellátását;- érzékeny a demográfiai ingadozásra
Milyen a TB finanszírozásának felosztó – kiróvó fajtája?;Mind;Egyik sem;-korábbi befizetésekből és egyéb hozadékaiból fizeti kiadásait / intertemporális / - az inaktívak jövedelme nincs összefüggésben az aktívak jövedelmével / felhalmozott tőkétől függ / ( minden járulék 1 számlára megy ); - inflációra, politikai ingadózásra érzékeny
Milyen a TB finanszírozásának felosztó – kiróvó fajtája?;Mind;Egyik sem;a bevételek egy részéből tartalékot képez; - a tartalék lehetőséget ad a gazdasági, demográfiai ingadozások hatásainak kivédésére
Egészségbiztosítás alapelvei?;Mind;egészség megőrzés, annak helyreállítása. • Egészségbiztosítás alapelvei: • a természetbeni ellátás nem függ a járulékfizetés mértékétől és jogcímétől;• a járulékfizetés jövedelemarányos és nem pedig kockázatarányos;• a TB által folyósított pénzbeli ellátások arányosak a járulékfizetéssel (pl. táppénz a jövedelem meghatározott százaléka
Kinek jár az egészségbiztosítás;Mind;a biztosítottnak és hozzátartozóinak ( biztosítás lejárta után még 90 napig );18 éven aluli személyeknek;szociális otthonban és intézményben ellátottaknak • átképzési támogatásban, munkanélküli segélyben, rendszeres szociális segélyben részesülőknek • Aki nem biztosítási alapon kapja, az rászorultsági alapon kapja! (természetbeni ell.)
Mik az Egészségbiztosítási ellátások?;Mind;egészségügyi szolgáltatás (természetbeni ellátás);pénzbeli ellátások;baleseti ellátások Egészségügyi szolgáltatás. (természetbeni ellátás)?;Mind;Térítésmentesen igénybe vehető eü.szolgáltatások: a betegség megelőzését és korai felismerését szolgáló eü.szolgáltatások: gyógykezelés céljából végzett ellátások (házi orvosi ellátás: fogászati ellátás: járóbeteg szakellátás: fekvőbeteg gyógyintézeti ellátás): ezen kívül: szülészeti ellátás: orvosi rehabilitáció: betegszállítás, mentés.;Árhoz nyújtott támogatással igénybe vehető szolgáltatások: gyógyszerek közfinanszírozás alapjául elfogadott árához nyújtott támogatás: gyógyászati segédeszközök és gyógyászati ellátások: utazási költségtérítés.;Részleges térítés mellett igénybe vehető szolgáltatások, méltányosságból igénybe vehető szolgáltatások, külföldön történő gyógykezelés.
Mik a Pénzbeli ellátások (TB eg.ügy.)?;Mind;– terhességi-gyermekágyi segély, előtte 180 nap munkaviszony kell, a gyerek 3 éves koráig, fix összegű;– gyermekgondozási díj, a gyerek 2 éves koráig, jövedelemfüggő;– táppénz. max 1 évig, biztosítás fennállása alatt, passzív táppénz: max 3 hónap, összege: jövedelemfüggő
Mik a Baleseti ellátások?;Mind;– baleseti egészségügyi szolgáltatás,;– baleseti táppénz,;– baleseti járadék. üzemi baleset, foglalkoztatási megbetegedés, baleseti rokkantsági járadék, rokkantság tartóssága fennáll, élete végéig jár
Nyugdíjbiztosítás?;Az első nyugdíjbiztosítási rendszert 1890.ben Bismark hozta létre. Ekkor az átlagéletkor 60 év volt. A kifizetéseket az aktív dolgozók befizetéseiből finanszírozták.;Korábban nem volt nyugdíj senkinek;Magyarországon ma sincs nyugdíj;Svédországban ingyen van az ellátás mindenre
Mik a A korábbi nyugdíjrendszer pillérei?;Mind;1.állami nyugdíj;2.magánnyugdíjpénztár kötelező biztosítása;3. önfinanszírozás( Önkéntes, kölcsönös, előtakarékos) 4. foglalkoztatói nyugdíj
Mik a mai nyugdíjrendszer pillérei?;Mind;Az első pillér járulékfizetés- felosztó-kirovó elven működik azaz a befizetett adókból és járulékokból fedezi a kifizetéseket, nincs tartalékképzés, finanszírozás demográfia függő.;A második pillérben a tagsági viszony lehet kötelező, illetve önkéntes. A biztosítások finanszírozása tőkefedezeti alapon működik, azaz a befizetésekből tartalékot képeznek. (befektetik);A harmadik pillér olyan önként vállalt biztosítási forma, amelyeket azok választhatnak, akik tudnak és akarnak előtakarékoskodni.(önkéntes nyugdíjpénztárak, üzleti biztosítások, befektetési alapok) • A nyugdíjbiztosítási ellátások: • társadalombiztosítási saját jogú nyugellátás hozzátartozói nyugellátás
Nyugdíjak mai típusai?;Saját jogú öregségi;Korkedvezményes;Korengedményes;Rokkantsági vagy baleseti rokkantsági
Nyugdíjak mai formája?;Mind;Egyik sem;nincs korkedvezményes nyugdíj;1. Saját jogú (öregségi) (5) a. jogosult 62 évet betöltött és 20 év munkaviszonya van b. korhatár ma 65 év c. a mostani kormány nőknek kedvezmény: 40 év munkaviszony után nyugdíjba mehet korkedvezményes ny: 2011-ben utoljára csökkentés nélkül korábban korengedményes ny: munkáltató kifizeti előre a nyugdíjig visszalévő összeget rokkantsági ny: baleset vagy betegség következtében munkaképessége minimum 50 %-át elveszítette, megállapítja a rehabilitációs bizottság, megfelelő munkaviszony, meghatározott ideig, felülvizsgálják d. sokan vannak, ezért megszigorították, megmaradt képességeket vizsgálják, baleseti rokkantsági nyugdíj: baleset következtésen,
Hozzátartozói nyugellátás formái?;Mind;Özvegyi nyugdíj: férfi és nő is kaphat, ha a meghaltnak van elég munkaviszonya. Fiatal özvegynél addig jár, míg a gyerek árvaellátásra jogosult. Öreg özvegynél először 1 évig, magasabb összeget, utána alacsonyabbat kap,;árvaellátás: szülő halála esetén nappali tagozat alatt, míg a gyerek tanul, max 25 éves koráig;szülői nyugdíj: szülők kapják, akinek a gyermeke meghal, ha a szülő jövedelemmel nem rendelkezik, korábban gyermeke tartotta el baleseti hozzátartozói nyugellátások: házastárs halála baleset következtében
Nyugdíj harmadik típusa?;3. Rehabilitációs járulék;Saját jogú;Hozzátartozói;egyik sem
Napjain nyugdíjrendszere...;Mind;nyugdíjbiztosítási rendszer átalakulása magánnyugdíjpénztár megszűnt nem kötelező átlépni az állami nyugdíjba, de akkor onnan nem kap nyugdíjat,;- elöregedés - csökkent születésszám;- nyugdíjkorhatár
Miért jött létre a liberalizmus?;Feudalizmus ellen;Liberalizmus francia forradalom ellen;Kapitalizmus ellen;Magától
Miért jött létre a Konzervativizmus?;Liberalizmus francia forradalom ellen;Kapitalizmus ellen;Magától;Feudalizmus ellen
Miért jött létre a Szocializmus?;Kapitalizmus ellen;Magától;Feudalizmus ellen;Liberalizmus francia forradalom ellen;Magától
Milyen viszonya van a változáshoz liberalizmus?;Jogilag vezérelt reform lehetésges;Lassítani kell, nem normális;Demokratikus eszközökkel;Teljesen elutasító
Milyen viszonya van a változáshoz Konzervativizmus?;Lassítani kell, nem normális;Demokratikus eszközökkel;Teljesen elutasító;Jogilag vezérelt reform lehetésges
Milyen viszonya van a változáshoz Szocializmus?;Demokratikus eszközökkel;Teljesen elutasító;Jogilag vezérelt reform lehetésges;Lassítani kell, nem normális
Milyen liberalizmus történelemfelfogása?;Dinamikus minden generáció magáért felel;Statikus;Dinamikus(kidolgozott elemek a jövőről);Nincs
Milyen Konzervativizmus történelemfelfogása?;Statikus;Dinamikus(kidolgozott elemek a jövőről);Nincs;Dinamikus minden generáció magáért felel
Milyen Szocializmus történelemfelfogása?;Dinamikus(kidolgozott elemek a jövőről);Nincs;Dinamikus minden generáció magáért felel;Statikus
Milyen a liberalizmus emberfelfogása?;Egyenlő, javítható;Egyenlőtlen nem javítható;Egyenlő nevelhető;Eleve tökéletes és egyenlő
Milyen a Konzervativizmus emberfelfogása?;Egyenlő, javítható;Egyenlőtlen nem javítható;Egyenlő nevelhető;Eleve tökéletes és egyenlő
Milyen a Szocializmus emberfelfogása?;Egyenlő, javítható;Egyenlőtlen nem javítható;Egyenlő nevelhető;Eleve tökéletes és egyenlő
Milyyen a liberalizmus társadalom alapköve?;Egyén;Csoport;Egyén, közösség, társadalom egésze;Tradícionális közösségek család kisközösség egyház
Milyyen a Konzervativizmus társadalom alapköve?;Tradícionális közösségek család kisközösség egyház;Egyén, közösség, társadalom egésze;Egyén;Csoport
Milyyen a Szocializmus társadalom alapköve?;Egyén, közösség, társadalom egésze;Tradícionális közösségek család kisközösség egyház;Egyén;Csoport
Milyen a liberalizmus hatalomfelfogása?;Hierarchia személytelen hatalommal (jog, piac);Személyes függőség elit;Liberális hatalmi szerkezet;Nincs
Milyen a Konzervativizmus hatalomfelfogása?;Személyes függőség elit;Liberális hatalmi szerkezet;Nincs;Hierarchia személytelen hatalommal (jog, piac)
Milyen a Szocializmus hatalomfelfogása?;Liberális hatalmi szerkezet;Hierarchia személytelen hatalommal (jog, piac);Személyes függőség elit;Nincs
Milyen az integráló intézménye liberalizmus?;Szabad piac;Tradícionális közösségek;Politikai intézmények;Nincs
Milyen az integráló intézménye Konzervativizmus?;Tradícionális közösségek;Politikai intézmények;Nincs;Szabad piac
Milyen az integráló intézménye Szocializmus?;Politikai intézmények;Nincs;Szabad piac;Tradícionális közösségek;
Milyen az állam szerepe liberalizmus?;Minimális;Nem főszereplő de lényeges;Fontos;Abszolút maximális
Milyen az állam szerepe Konzervativizmus?;Nem főszereplő de lényeges;Fontos;Abszolút maximális;Minimális
Milyen az állam szerepe Szocializmus?;Fontos;Abszolút maximális;Minimális;Nem főszereplő de lényeges
Milyen a liberalizmus piac szerepe?;Önszabályozó;Nem elvetendő;Beavatkozás szükségszerű;Teljesen szabályozandó
Milyen a Konzervativizmus piac szerepe?;Nem elvetendő;Beavatkozás szükségszerű;Teljesen szabályozandó;Önszabályozó
Milyen a Szocializmus piac szerepe?;Beavatkozás szükségszerű;Teljesen szabályozandó;Önszabályozó;Nem elvetendő
Milyen az alapértéke liberalizmus?;Szabadság;Mindegyik;Esélyegyenlőség szolidarítás;Harmónia és hagyomány
Milyen az alapértéke Konzervativizmus?;Harmónia és hagyomány;Szabadság;Mindegyik;Esélyegyenlőség szolidarítás
Milyen az alapértéke Szocializmus?;Esélyegyenlőség szolidarítás;Harmónia és hagyomány;Szabadság;Mindegyik
Milyen az egyenlőségértelmezése liberalizmus?;Esélyegyenlőség;Csak feltételi;Feltétel és kimenet;Semmilyen;
Milyen az egyenlőségértelmezése Konzervativizmus?;Semmilyen;Esélyegyenlőség;Csak feltételi;Feltétel és kimenet
Milyen az egyenlőségértelmezése Szocializmus?;Feltétel és kimenet;Semmilyen;Esélyegyenlőség;Csak feltételi
Milyen a szabadságértelmezése liberalizmus?;Főleg negatív;Semleges;Pozitív;Negatív de korlátozott
Milyen a szabadságértelmezése Konzervativizmus?;Negatív de korlátozott;Főleg negatív;Semleges;Pozitív
Milyen a szabadságértelmezése Szocializmus?;Pozitív;Negatív de korlátozott;Főleg negatív;Semleges
Milyena szolidaritásértelmezése liberalizmus?;Tolerálható mikroszinten mezoszinten filantrópia caritas;Mikroszinten kezelendő;Makroszinten is fontos;Paternalizmus és caritas hierarchikus függőség
Milyena szolidaritásértelmezése Konzervativizmus?;Paternalizmus és caritas hierarchikus függőség;Tolerálható mikroszinten mezoszinten filantrópia caritas;Mikroszinten kezelendő;Makroszinten is fontos
Milyena szolidaritásértelmezése Szocializmus?;Makroszinten is fontos;Paternalizmus és caritas hierarchikus függőség;Tolerálható mikroszinten mezoszinten filantrópia caritas;Mikroszinten kezelendő
Milyen az igazságértelmezése liberalizmus?;Piaci kimenetel igazságos;Teljesen igazságos;Isteni igazságot embereknek nem helyes korrigálni;Teljesítményalapú, de alapszükséglet kielégítése mindenkinek jár.
Milyen az igazságértelmezése Konzervativizmus?;Isteni igazságot embereknek nem helyes korrigálni;Teljesítményalapú, de alapszükséglet kielégítése mindenkinek jár.;Piaci kimenetel igazságos;Teljesen igazságos
Milyen az igazságértelmezése Szocializmus?;Teljesítményalapú, de alapszükséglet kielégítése mindenkinek jár.;Isteni igazságot embereknek nem helyes korrigálni;Piaci kimenetel igazságos;Teljesen igazságos
Mi befolyásolja a gyerekszegénységet?;Mind;Gyerekszám • Szülők társadalmi helyzete, munkaerőpiaci helyzete;• Szülők iskolai végzettsége • Egyszülős – teljes család;• Demográfiai szegénység
