Mi az oktatáspolitika?;Az oktatáspolitika egyfajta szakpolitika, azon nézetek célok és intézkedések együttese,amely kijelöli az oktatás és szakképzés fejlesztésének fő irányait mértékeit, és ezeknek megfelelő eszközöket és módszereket biztosít. Nem egységes, olyan részpolitikákra bomlik, amelyek az oktatási rendszer különböző alrendszereihez kötődnek. /pl. közoktatás, szakképzési, felsőoktatási/.;Nem szakpolitika;Kutatási terület;Családpolitika
A jóléti állam fejlődése: 3 síkon vizsgáljuk: 3. Fejlődési szakaszok:..;Mind;1940.- a jóléti állam fogalom leíródik. - A II. Világháború terméke a jóléti állam. - Az államnak nem az elnyomó funkcióját, hanem a jólétet kell erősíteni. - a jóléti állam virágkora a II.Vh. utáni 2-3 évtized;- alapvető dokumentumai: - 1935 – Amerikában, társadalmi vagy szociális biztonságról szóló törvény megjelenése, A szociális háló kifejezés első használata ekk - 1942 – Beveridge jelentés: szociális biztosítás = társadalombiztosítás.(Németország, Otto von Bismarck kancellár vezette be a világ első kötelező betegbiztosítási programját, majd ezt követően a kötelező ipari balesetbiztosítást, a nyugdíj és rokkantsági nyugdíj;SWAAN holland szociológus szerint a jóléti állam: - kialakulására nagy hatású volt a tb bevezetése, a szociáls és politikai jogok fejlődése, állam és állampolárok viszonyának megváltozása.
SZOCÁLPOLTIKA AZ ÁLLAMSZOCALZMUS IDŐSZAKÁBAN. SZOCIÁLPOLITIKAI TECHNIKÁK ÉS ALAPELVEK TÖRTÉLMI HÁTTÉR:;AZ EGYIK LEGPUSZTÍTÓBB HÁBORU: A II. VILÁGHÁBORÚ /IDEOLÓGAI SZINTEN VAL KIIRTÁS, TUDOMÁNYOS TECHNIKÁK TÖMEGGYILKOLÁSRA VALÓ FELHASZNÁLÁSA – TÁPTALAJT ADTAK A SZOVJETRENDSZER ELTERJEDÉSÉRE. LENINI ALAPOKON ÁLLÓ KOMMUNISTA IDEOLÓGIA ELEMEI: (minden válasz helyes);- GAZDASÁGOK ÉS TÁRSADALMAK ERŐLETJES KÖZPONTOSÍTÁSA - AZ ÉLET MNDEN TERÜLETÉRE KIHATÓ TOTÁLIS IRÁNYÍTÁS;- TELJES FOGLALKOZTATOTTSÁG;- A FELTÉTELES HADI ÁLLAPOT ALAPOT AD A HADIIPARRA VALÓ ÁTÁLLÁSRA - ÖNÁLLÓ EGSZISZTENCIÁK GYENGÍTÉSE /TERMELŐSZÖVETKEZETEK LÉTREHOZSA, KISÜZEMEK, KISBOLTOK ÁLLAMOSÍTÁSA/.
JÓLÉTI SIKEREK ÁLLAMSZOCALZMUS /ELLENTMONDÁSOS ENNEK A KORNAK A MEGÍTÉLÉSE/?;Mind;A TELJES FOGLALKOZTATOTTSÁGGAL MINDENKI SZÁMÁRA BIZTOSÍTOTT EGY ALACSONY SZINTŰ JÖVEDELMET ÉS MEGÉLHETÉST.;- FERTŐZŐ JRVÁNYOK, BETEGSÉGEK VISSZASZORULÁSA /KÖTELEZŐ VÉDŐOLTÁSOK ÉS NÉPEGÉSZSÉGÜGYI PROGRAMOK HATÁSÁRA/.;- TANKÖTELEZETTSÉGNEK KÖSZÖNHETŐEN AZ ISKOLAI VÉGZETTSÉG UGRÁSSZERŰEN EMELKEDETT - TÁRSADALMI EGYENLŐTLENSÉGEK JELENTŐSEN CSÖKKENTEK EGY BIZONYOS SZINTEN
ÁLLAMSZOCALZMUS  KORLÁTOK?;Mind;Egyik sem;- AZ EMBERI-, A SZABADSÁGJOGOK ELNYOMÁSA, ÉRVÉNYTELENÍTÉSE.;- AZ ÁLLAMPOLGÁROK ÉS AZ ÁLLAM KÖZÖTT A SZRZŐDÉSES VISZONY HELYETT ATYÁSKODÓ VISZONY. - A SZOCIÁLIS BIZTONSÁG NEM ÁLLAMPOLGÁRI JOT /KEGY/.
Mi történik a népjóléti minisztériummal 1950-ben?;Megszűnik;Átszerveződik;Újraalakul;Kiterjesztik a jogköreit
AZ ÁLLAM ESZKÖZEI ÁLLAMSZOCALZMUSBAN?;Mind;- TELJES FOGLALKOZTATÁS;- TB KITERJESZTÉSE MINDEN FOGLALKOZSRA - ÁLLAMI VÁLLALAOK FELSZÓLÍTÁSA-VÁLLALATI SZOCÁLIS INTÉZMÉNYEK LÉTREHOZÁSA;SZOCIALISTA BÉRRENDSZER KIÉPÍTÉSE - NEM PAC JELLEGŰ RRENDSZER MŰKÖDTETÉSE
A TB MO- I ÁTALAKULÁSA: SZTK VESZI ÁT A TB IGAZGATÁSI ÉS ÜGYVITELI FELADATAIT. ÁLLAMSZOCALZMUS VÁLTOZÁSAI?;Mind;A SZOCÁLIS ELLÁTÓ RENDSZERT SZOVJET MINTÁRA ALAKÍTOTTÁK ÁT: EGY KÉZBE KERÜLT AZ ELVI DÖNTÉSEK MEGHOZATALA, AZ IRNYÍTÁS, A MEGVALÓSÍTÁS ÉS AZ ELLENŐRZÉS IS.;FORMAILAG,SZAKSZERVEZETI IRÁNYÍTÁS,GYAKORLATBAN PÁRTIRÁNYÍTÁS VALÓSULT MEG.;POZITÍVUMA, HOGY A SZÖVETKEZETI ÉS KISPARI SZÖVETKEZETI TAGOK IS BIZTOSÍTOTTAKKÁ VÁLTAK
Mi történt az államszocializmusban a TB járulékokból elkülönített alappal?;A TB JÁRULÉKOKBÓL NEM KÉPZŐDÖTT ELKÜLÖNÍTETT PÉNZÜGYI ALAP, MINDEN ÉVBEN A KÖLTSÉGVETÉS EGYIK TÉTELEKÉNT ÁLLAPÍTOTTÁK MEG, AMELY MAGÁVAL HOZTA, HOGY A HATALOM KÉNYE-KEDVE SZERINT HASZNLHATTA FEL.;Nem volt ilyen járulék;Csak egy célra használhatták fel;képzódött ilyen alap, hadseregre költötték
Miről szól az 1955. évi törvény;AZ 1955. ÉVI TÖRVÉNY MEGSZÜNTETTE A TÁRGYI BIZTOSÍTÁST, HELYÉBE A
SZEMÉLYI BIZTOSÍTÁS LÉPETT IGY KITERJEDT AZ PARI MEZŐGAZDASÁGI SZÖVETKEZETI TAGOKRA, TANULÓKRA, LELKÉSZEKRE, EGYHÁZI TISZTSÉGVISELŐKRE.;Tárgyi biztosítást kiterjeszti;Mezőgazdasági dolgozók nyugdíjbiztosítása;személyi biztosítás csak párttagoknak járt
Jellemezze az 1950től 1980ig tartó időszakot!;Mind;1951-BEN MEGSZÜLETETT AZ ELSŐ EGYSÉGES NYUGDÍJTÖRVÉNY, JOGOSULTSÁGI ALAPJA 10 ÉV, KORHATÁR 60 ÉS. 1958-TÓL AZ ÉLETTÁRS IS RÉSZESÜLHETETT ÖZVEGYI NYUGDÍJBAN.; AZ 1960-AS ÉVEKBEN A MUNKAJÖVEDELMEK NÖVELÉSÉRE KONCENTRÁLTAK, 1970-ES ÉVEKBEN A PÉNZBELI SZOCÁLIS JUTTATÁSOKRA. EKKOR VÁLT INGYENESSÉ AZ EÜ ELLÁTÁS /KORLÁTLAN IDEJŰ KÓRHÁZI ÁPOLÁS/. AZ 1975-ÖS TB TÖRVÉNY: 100 %-OS JOGOSULTSÁGI ARÁNY, AZ ÁLLAM FELADATA A MŰKÖDTETÉSE.; AZ 1980-AS IDŐSZAK ELADÓSODÁS FOLYAMATÁT HOZTA.
Mi az AZ ÁLLAMSZOCALIZMUSNAK NÉGY ALAPVETŐ MŰKÖDÉS ELVE?;PÁRTÁLLAMI POLITIKA TELJES DOMNANCIÁJA A SZOC.POL FELETT (minden válasz helyes);AZ ELLÁTÁSOK ALAPJA NEM A JÁRULÉKFIZETÉS, HANEM MUNKAVÁLLALÁS VOLTA, A SZOCIALIZMUSON BELÜL A MEGÉLHETÉS LEGITIM FORMÁJA A MUNKA.;AKI NEM DOLGOZIK NE IS EGYÉK ELV ÉRVÉNYESÍTÉSE /MO-ON 1950-TŐL MNDEN SEGÉLYEZÉST ELTÖRÖLTEK/ TABU TÉMA VOLT A A SZEGÉNYSÉG, DEVIANCIA, HAJLÉKTALANSG, MUNKANÉLKÜLISÉG;EGYÉNI KISCSOPORTOS SZEREPEK NEGLIGÁLSA
Államszocializmus szociálpolitika összefoglalva..;Mind;ÖSSZEFOGLALVA: A GAZDASÁG ÉS A POLITIKA SZOVJET MODELL ÁTVÉTELÉT JELENTETTE; ALACSONY LEGITIMLSSAL; VISZONT A SZOCPOL-BAN JELEN VOLT A SZERVES FEJLŐDÉS; A SZOCPOL. MEGFELELT AZ AKKORI LAKOSSÁG ELVÁRÁSÁNAK, TÉNYLEGES IGÉNYENEK.
Mik a SZOCIÁLPOLITIKAI TECHNIKÁK, ALAPELVEK (A szociálpolitikai alapelvek és technikák arra szolgálnak, hogy szempontrendszert adjanak a szociálpolitikai eszközök, beavatkozási technikák megtervezésekor.)?;Mind;Biztonság - Abszolút biztonság -Relatív biztonság ;Prevenció;Integráció- beilleszkedés támogatása - Univerzalitás – Szelektivitás - Normativitás – diszkrencionalitás - Hatásosság és hatékonyság
A szociálpolitikát meghatározó tényezők?;Mind; - Gazdasági helyzet - Népesség korstruktúrája;- Az ország történelmi hagyományai - Az adott társadalom értékrendje és uralkodó ideológiái;- A társadalom szerkezete, erőviszonyai és a mindezek hatására kialakuló politikai rendszer
Mik a A szociálpolitikára ható értékek?;Mind;- Szabadság –választást teszi lehetővé, hogy az ember sajt sorsát formálhassa - Egyenlőség-;- Szolidaritás, - Tolerancia;- Igazságosság
Mi a Szabadság?;A választást teszi lehetővé, azt hogy az ember saját sorsát formálhassa.;a polgári társadalom legfontosabb követelése. Az embert nem korlátozhatja az, hogy milyen társadalmi rendbe született. A jog előtt mindenki egyenlő, nincsenek kiváltságok. A kimenetek egyenlősége szerint a társadalom akkor igazságos, ha úgy biztosítja a rosszabb helyzetűek hátrányának kompenzálását, hogy a jó helyzetűekkel azonos valószínűséggel érjenek célba az élet bármely területén. A bánásmódok egyenlősége azt jelenti, hogy az igazságszolgáltatás előtt mindenki egyenlő.;Összetartozást fejez ki, hogy a közösség tagjai valamilyen áldozatra is hajlandóak a közös cél érdekében;a másság elfogadását jelenti, a mássággal szembeni türelmet. A tolerancia alapkövetelmény a szociálpolitikában és a szociális munkában is, mert a szociális munkának épp az a lényege, hogy elfogadja és igyekszik megérteni a másik életmódját, kultúráját, és elejét vegye a céltalan és megalázó erőszakos jobbítási szándékoknak.
Mi az Egyenlőség?;Az esélyek egyenlősége a polgári társadalom legfontosabb követelése. Az embert nem korlátozhatja az, hogy milyen társadalmi rendbe született. A jog előtt mindenki egyenlő, nincsenek kiváltságok. A kimenetek egyenlősége szerint a társadalom akkor igazságos, ha úgy biztosítja a rosszabb helyzetűek hátrányának kompenzálását, hogy a jó helyzetűekkel azonos valószínűséggel érjenek célba az élet bármely területén. A bánásmódok egyenlősége azt jelenti, hogy az igazságszolgáltatás előtt mindenki egyenlő.;Összetartozást fejez ki, hogy a közösség tagjai valamilyen áldozatra is hajlandóak a közös cél érdekében;a másság elfogadását jelenti, a mássággal szembeni türelmet. A tolerancia alapkövetelmény a szociálpolitikában és a szociális munkában is, mert a szociális munkának épp az a lényege, hogy elfogadja és igyekszik megérteni a másik életmódját, kultúráját, éselejét vegye a céltalan és megalázó erőszakos jobbítási szándékoknak.;Eljárási, igazságosság
Mi a Szolidaritás?;Összetartozást fejez ki, hogy a közösség tagjai valamilyen áldozatra is hajlandóak a közös cél érdekében;a polgári társadalom legfontosabb követelése. Az embert nem korlátozhatja az, hogy milyen társadalmi rendbe született. A jog előtt mindenki egyenlő, nincsenek kiváltságok. A kimenetek egyenlősége szerint a társadalom akkor igazságos, ha úgy biztosítja a rosszabb helyzetűek hátrányának kompenzálását, hogy a jó helyzetűekkel azonos valószínűséggel érjenek célba az élet bármely területén. A bánásmódok egyenlősége azt jelenti, hogy az igazságszolgáltatás előtt mindenki egyenlő.;a másság elfogadását jelenti, a mássággal szembeni türelmet. A tolerancia alapkövetelmény a szociálpolitikában és a szociális munkában is, mert a szociális munkának épp az a lényege, hogy elfogadja és igyekszik megérteni a másik életmódját, kultúráját, és elejét vegye a céltalan és megalázó erőszakos jobbítási szándékoknak.;Eljárási, igazságosság:
Mi a Tolerancia?;a másság elfogadását jelenti, a mássággal szembeni türelmet. A tolerancia alapkövetelmény a szociálpolitikában és a szociális munkában is, mert a szociális munkának épp az a lényege, hogy elfogadja és igyekszik megérteni a másik életmódját, kultúráját, és elejét vegye a céltalan és megalázó erőszakos jobbítási szándékoknak.;Eljárási, igazságosság;lényegi igazságosság;Liberalizmus
Mik az Igazságosság fajtái?;Mind;Egyik sem;- Eljárási, igazságosság: - lényegi igazságosság = erények együttesen - elosztó igazságosság;- Korrektív, kiigazító igazságosság - Utilitárius közgazdasági felfogásban: igazságos, ha mindenki számára hasznos. - Társadalmi igazságosság (érdemek szerint
Mik a politikai irányzatok?;- Konzervativizmus - Liberalizmus - Szocializmus; - Liberalizmus - Szocializmus;- Konzervativizmus - Liberalizmus ;- Konzervativizmus - Szocializmus
Mi a család?;• a szülő(k) és gyermeke(ik) alkotta közösség alapvető, természetes, élő sejtje a társadalomnak, melyre minden más közösség és maga a társadalom egésze épül. • Privát ügy vagy társadalmi = közügy;Három emberből álló egység;Négy emberből álló egység;A család az család
Gyerek értelmezései a történelemben?;Mindkettő;Egyik sem;Középkor: sajátos szükséglet nem merül fel;Rousseau: „romlatlan” „ártatlan” „egyenlő” „szabad”, sajátos szükségletei vannak. A nevelés közügy!
Mi a helyzet a "normális családokkal"?;Mind;kezd atipikussá válni (egyházi hatás gyengülése,;nők munkába állása, iskolázottság kitolódása;nő a gyermeket nem vállalók aránya, az egynemű párok aránya) Házasság 2/3-ad, házasságon kívül 1/3 -ad
Értelmezze a Családpolitikát!;Mind;A gyermekek és gyermekes családok anyagi helyzetét befolyásoló beavatkozások. „újratermelődés”  családpolitika: a társadalompolitika része.;Közvetlen célja az, hogy megfelelő feltételeket teremtsen a család alapításához, a családok gyarapodásához, a családok megtartó erejének erősítéséhez és a családok által kívánatosnak tartott gyermekszám eléréséhez.;E cél megvalósulása egyúttal eredményezi a kedvezőtlen népesedési folyamat megváltozását is.  Pronatalista politika: szükséges a gyermekek létszámát növelni.
Mi a pronatalista politika?;szükséges a gyermekek létszámát növelni.;nem szükséges a gyermekek létszámát növelni.;opcioálisan szükséges a gyermekek létszámát növelni.;az álam dönti el a gyermekek létszámát.
Mi a Siker és kihívás a XXI. században a családpolitikában?;Mind;Egyik sem;A XXI. század egyik legpozitívabb eredménye az életkor meghosszabbodása. • Várható életkor 69 – 70,1 77 – 77, 9 a 65 éven felüliek 62 % -a nő;Elöregedés és csökkenő születésszám. Legnövekvőbb csoport a 80 év felettiek. Háztartások 40 % - ban élnek idősek
Mi a helyzet az Öregedő területekkel?;Minél kisebb a település annál magasabb az ott élő idősek aránya.”;Minél nagyobb település annál magasabb az ott élő idősek aránya.”;Minél kisebb a település annál magasabb az ott élő fiatalok aránya.”;Mind
